Date,Close
4/1/2014 16:00:00,14.06
4/2/2014 16:00:00,15.61
4/3/2014 16:00:00,14.15
4/4/2014 16:00:00,13.06
4/7/2014 16:00:00,12.99
4/8/2014 16:00:00,13.01
4/9/2014 16:00:00,12.97
4/10/2014 16:00:00,13.08
4/11/2014 16:00:00,12.94
4/14/2014 16:00:00,12.85
4/15/2014 16:00:00,12.6
4/16/2014 16:00:00,12.52
4/17/2014 16:00:00,13.06
4/21/2014 16:00:00,13.1
4/22/2014 16:00:00,14.17
4/23/2014 16:00:00,14.4
4/24/2014 16:00:00,14.7
4/25/2014 16:00:00,14.86
4/28/2014 16:00:00,15.02
4/29/2014 16:00:00,14.98
4/30/2014 16:00:00,14.92
5/1/2014 16:00:00,15.34
5/2/2014 16:00:00,15.18
5/5/2014 16:00:00,15.15
5/6/2014 16:00:00,14.85
5/7/2014 16:00:00,12.5
5/8/2014 16:00:00,12.09
5/9/2014 16:00:00,10.93
5/12/2014 16:00:00,10.77
5/13/2014 16:00:00,13.35
5/14/2014 16:00:00,13.67
5/15/2014 16:00:00,13.46
5/16/2014 16:00:00,13.5
5/19/2014 16:00:00,13.55
5/20/2014 16:00:00,13.4
5/21/2014 16:00:00,13.58
5/22/2014 16:00:00,13.34
5/23/2014 16:00:00,13.28
5/27/2014 16:00:00,13.63
5/28/2014 16:00:00,13.59
5/29/2014 16:00:00,14.24
5/30/2014 16:00:00,14.44
6/2/2014 16:00:00,14.63
6/3/2014 16:00:00,13.85
6/4/2014 16:00:00,13.2
6/5/2014 16:00:00,13.72
6/6/2014 16:00:00,14.04
6/9/2014 16:00:00,13.71
6/10/2014 16:00:00,13.2
6/11/2014 16:00:00,14.09
6/12/2014 16:00:00,13.96
6/13/2014 16:00:00,14.01
6/16/2014 16:00:00,13.95
6/17/2014 16:00:00,14.61
6/18/2014 16:00:00,14.56
6/19/2014 16:00:00,14.79
6/20/2014 16:00:00,15.35
6/23/2014 16:00:00,16.62
6/24/2014 16:00:00,16.61
6/25/2014 16:00:00,16.64
6/26/2014 16:00:00,16.46
6/27/2014 16:00:00,15.47
6/30/2014 16:00:00,16.81
7/1/2014 16:00:00,16.08
7/2/2014 16:00:00,16.65
7/3/2014 16:00:00,16.6
7/7/2014 16:00:00,15.64
7/8/2014 16:00:00,14.77
7/9/2014 16:00:00,14.13
7/10/2014 16:00:00,14.31
7/11/2014 16:00:00,14.45
7/14/2014 16:00:00,14.5
7/15/2014 16:00:00,14.13
7/16/2014 16:00:00,13.96
7/17/2014 16:00:00,13.5
7/18/2014 16:00:00,13.5
7/21/2014 16:00:00,13.32
7/22/2014 16:00:00,13.65
7/23/2014 16:00:00,13.72
7/24/2014 16:00:00,13.56
7/25/2014 16:00:00,14.37
7/28/2014 16:00:00,14.28
7/29/2014 16:00:00,14.37
7/30/2014 16:00:00,14.41
7/31/2014 16:00:00,14.06
8/1/2014 16:00:00,13.71
8/4/2014 16:00:00,13.82
8/5/2014 16:00:00,13.64
8/6/2014 16:00:00,14.21
8/7/2014 16:00:00,16.54
8/8/2014 16:00:00,17.08
8/11/2014 16:00:00,16.82
8/12/2014 16:00:00,16.34
8/13/2014 16:00:00,16.81
8/14/2014 16:00:00,18.04
8/15/2014 16:00:00,17.87
8/18/2014 16:00:00,18.28
8/19/2014 16:00:00,18.57
8/20/2014 16:00:00,19.21
8/21/2014 16:00:00,19.4
8/22/2014 16:00:00,19.48
8/25/2014 16:00:00,19.94
8/26/2014 16:00:00,19.5
8/27/2014 16:00:00,18.75
8/28/2014 16:00:00,18.56
8/29/2014 16:00:00,18.9
9/2/2014 16:00:00,18.55
9/3/2014 16:00:00,18.03
9/4/2014 16:00:00,17.3
9/5/2014 16:00:00,16.47
9/8/2014 16:00:00,16.55
9/9/2014 16:00:00,16.1
9/10/2014 16:00:00,15.79
9/11/2014 16:00:00,15.52
9/12/2014 16:00:00,15.61
9/15/2014 16:00:00,15.79
9/16/2014 16:00:00,15.37
9/17/2014 16:00:00,15.94
9/18/2014 16:00:00,15.4
9/19/2014 16:00:00,15.37
9/22/2014 16:00:00,15.19
9/23/2014 16:00:00,14.93
9/24/2014 16:00:00,14.8
9/25/2014 16:00:00,15.21
9/26/2014 16:00:00,14.92
9/29/2014 16:00:00,15.62
9/30/2014 16:00:00,15.59
10/1/2014 16:00:00,15.16
10/2/2014 16:00:00,15.04
10/3/2014 16:00:00,15.54
10/6/2014 16:00:00,15.37
10/7/2014 16:00:00,15.5
10/8/2014 16:00:00,16.16
10/9/2014 16:00:00,16.06
10/10/2014 16:00:00,15.81
10/13/2014 16:00:00,15.64
10/14/2014 16:00:00,16.17
10/15/2014 16:00:00,17.12
10/16/2014 16:00:00,17.87
10/17/2014 16:00:00,17.9
10/20/2014 16:00:00,17.84
10/21/2014 16:00:00,17.9
10/22/2014 16:00:00,17.93
10/23/2014 16:00:00,17.97
10/24/2014 16:00:00,17.93
10/27/2014 16:00:00,17.83
10/28/2014 16:00:00,17.87
10/29/2014 16:00:00,17.93
10/30/2014 16:00:00,17.88
10/31/2014 16:00:00,18.2
11/3/2014 16:00:00,17.69
11/4/2014 16:00:00,17.37
11/5/2014 16:00:00,17.94
11/6/2014 16:00:00,17.87
11/7/2014 16:00:00,17.89
11/10/2014 16:00:00,17.83
11/11/2014 16:00:00,17.7
11/12/2014 16:00:00,17.75
11/13/2014 16:00:00,17.77
11/14/2014 16:00:00,17.27
11/17/2014 16:00:00,16.26
11/18/2014 16:00:00,17.36
11/19/2014 16:00:00,17.31
11/20/2014 16:00:00,17.68
11/21/2014 16:00:00,17.66
11/24/2014 16:00:00,18.09
11/25/2014 16:00:00,18.09
11/26/2014 16:00:00,18.12
11/28/2014 16:00:00,18.08
