Date,Close
4/1/2014 16:00:00,35.38
4/2/2014 16:00:00,35.24
4/3/2014 16:00:00,35.34
4/4/2014 16:00:00,35.35
4/7/2014 16:00:00,34.99
4/8/2014 16:00:00,35.53
4/9/2014 16:00:00,36.12
4/10/2014 16:00:00,35.81
4/11/2014 16:00:00,36.09
4/14/2014 16:00:00,36.09
4/15/2014 16:00:00,36.23
4/16/2014 16:00:00,36.53
4/17/2014 16:00:00,36.48
4/21/2014 16:00:00,36.87
4/22/2014 16:00:00,36.96
4/23/2014 16:00:00,36.58
4/24/2014 16:00:00,36.19
4/25/2014 16:00:00,35.83
4/28/2014 16:00:00,35.92
4/29/2014 16:00:00,36.57
4/30/2014 16:00:00,36.57
5/1/2014 16:00:00,36.52
5/2/2014 16:00:00,36.72
5/5/2014 16:00:00,37.28
5/6/2014 16:00:00,36.94
5/7/2014 16:00:00,37.21
5/8/2014 16:00:00,36.7
5/9/2014 16:00:00,36.55
5/12/2014 16:00:00,36.6
5/13/2014 16:00:00,36.52
5/14/2014 16:00:00,36.69
5/15/2014 16:00:00,36.54
5/16/2014 16:00:00,36.62
5/19/2014 16:00:00,36.45
5/20/2014 16:00:00,36.64
5/21/2014 16:00:00,36.65
5/22/2014 16:00:00,37.11
5/23/2014 16:00:00,37.06
5/27/2014 16:00:00,37.11
5/28/2014 16:00:00,37.02
5/29/2014 16:00:00,36.94
5/30/2014 16:00:00,37.41
6/2/2014 16:00:00,37.88
6/3/2014 16:00:00,37.75
6/4/2014 16:00:00,37.73
6/5/2014 16:00:00,37.71
6/6/2014 16:00:00,37.62
6/9/2014 16:00:00,37.48
6/10/2014 16:00:00,37.55
6/11/2014 16:00:00,37.22
6/12/2014 16:00:00,37.07
6/13/2014 16:00:00,37.35
6/16/2014 16:00:00,37.46
6/17/2014 16:00:00,37.4
6/18/2014 16:00:00,36.97
6/19/2014 16:00:00,37.51
6/20/2014 16:00:00,37.71
6/23/2014 16:00:00,38.14
6/24/2014 16:00:00,38.06
6/25/2014 16:00:00,38.57
6/26/2014 16:00:00,38.75
6/27/2014 16:00:00,38.95
6/30/2014 16:00:00,39.15
7/1/2014 16:00:00,39.4
7/2/2014 16:00:00,39.27
7/3/2014 16:00:00,38.84
7/7/2014 16:00:00,38.34
7/8/2014 16:00:00,38.23
7/9/2014 16:00:00,38.85
7/10/2014 16:00:00,38.72
7/11/2014 16:00:00,38.82
7/14/2014 16:00:00,38.78
7/15/2014 16:00:00,38.69
7/16/2014 16:00:00,38.91
7/17/2014 16:00:00,38.82
7/18/2014 16:00:00,38.91
7/21/2014 16:00:00,38.79
7/22/2014 16:00:00,39.2
7/23/2014 16:00:00,39.28
7/24/2014 16:00:00,39.5
7/25/2014 16:00:00,39.45
7/28/2014 16:00:00,39.65
7/29/2014 16:00:00,39.12
7/30/2014 16:00:00,38.42
7/31/2014 16:00:00,37.3
8/1/2014 16:00:00,36.65
8/4/2014 16:00:00,37.59
8/5/2014 16:00:00,36.77
8/6/2014 16:00:00,37.08
8/7/2014 16:00:00,37.03
8/8/2014 16:00:00,37.64
8/11/2014 16:00:00,37.85
8/12/2014 16:00:00,37.33
8/13/2014 16:00:00,37.9
8/14/2014 16:00:00,38.35
