Date,Close
4/1/2014 16:00:00,32.88
4/2/2014 16:00:00,32.81
4/3/2014 16:00:00,32.96
4/4/2014 16:00:00,33.02
4/7/2014 16:00:00,32.24
4/8/2014 16:00:00,33.05
4/9/2014 16:00:00,32.92
4/10/2014 16:00:00,32.68
4/11/2014 16:00:00,32.29
4/14/2014 16:00:00,32.44
4/15/2014 16:00:00,32.9
4/16/2014 16:00:00,33.31
4/17/2014 16:00:00,33.77
4/21/2014 16:00:00,33.4
4/22/2014 16:00:00,33.45
4/23/2014 16:00:00,33.61
4/24/2014 16:00:00,33.68
4/25/2014 16:00:00,33
4/28/2014 16:00:00,32.38
4/29/2014 16:00:00,33.02
4/30/2014 16:00:00,32.66
5/1/2014 16:00:00,32.6
5/2/2014 16:00:00,32.72
5/5/2014 16:00:00,32.74
5/6/2014 16:00:00,32.55
5/7/2014 16:00:00,32.78
5/8/2014 16:00:00,32.52
5/9/2014 16:00:00,32.15
5/12/2014 16:00:00,32.38
5/13/2014 16:00:00,32.44
5/14/2014 16:00:00,33.17
5/15/2014 16:00:00,33.45
5/16/2014 16:00:00,33.45
5/19/2014 16:00:00,33.32
5/20/2014 16:00:00,33.25
5/21/2014 16:00:00,33.44
5/22/2014 16:00:00,33.77
5/23/2014 16:00:00,33.68
5/27/2014 16:00:00,33.6
5/28/2014 16:00:00,33.59
5/29/2014 16:00:00,33.6
5/30/2014 16:00:00,33.39
6/2/2014 16:00:00,33.72
6/3/2014 16:00:00,33.82
6/4/2014 16:00:00,34.05
6/5/2014 16:00:00,34.62
6/6/2014 16:00:00,35.08
6/9/2014 16:00:00,35.06
6/10/2014 16:00:00,35.07
6/11/2014 16:00:00,34.9
6/12/2014 16:00:00,34.91
6/13/2014 16:00:00,35.19
6/16/2014 16:00:00,35.38
6/17/2014 16:00:00,34.97
6/18/2014 16:00:00,35.07
6/19/2014 16:00:00,35.4
6/20/2014 16:00:00,36.03
6/23/2014 16:00:00,36.01
6/24/2014 16:00:00,36.11
6/25/2014 16:00:00,35.97
6/26/2014 16:00:00,36
6/27/2014 16:00:00,36.04
6/30/2014 16:00:00,36.26
7/1/2014 16:00:00,36.05
7/2/2014 16:00:00,35.75
7/3/2014 16:00:00,35.65
7/7/2014 16:00:00,35.61
7/8/2014 16:00:00,35.53
7/9/2014 16:00:00,35.79
7/10/2014 16:00:00,35.68
7/11/2014 16:00:00,35.63
7/14/2014 16:00:00,35.97
7/15/2014 16:00:00,36.17
7/16/2014 16:00:00,36.91
7/17/2014 16:00:00,36.81
7/18/2014 16:00:00,37.55
7/21/2014 16:00:00,37.61
7/22/2014 16:00:00,37.65
7/23/2014 16:00:00,37.7
7/24/2014 16:00:00,37.88
7/25/2014 16:00:00,37.9
7/28/2014 16:00:00,37.79
7/29/2014 16:00:00,37.17
7/30/2014 16:00:00,37.3
7/31/2014 16:00:00,35.98
8/1/2014 16:00:00,35.49
8/4/2014 16:00:00,36.25
8/5/2014 16:00:00,35.54
8/6/2014 16:00:00,35.56
8/7/2014 16:00:00,35.37
8/8/2014 16:00:00,36.12
8/11/2014 16:00:00,39.37
8/12/2014 16:00:00,38.73
8/13/2014 16:00:00,38.77
8/14/2014 16:00:00,39.88
8/15/2014 16:00:00,41.43
8/18/2014 16:00:00,41.14
8/19/2014 16:00:00,41.42
8/20/2014 16:00:00,41.6
8/21/2014 16:00:00,41.25
8/22/2014 16:00:00,40.81
8/25/2014 16:00:00,40.53
8/26/2014 16:00:00,40.06
8/27/2014 16:00:00,39.93
8/28/2014 16:00:00,39.77
8/29/2014 16:00:00,40.26
9/2/2014 16:00:00,39.86
